country,year,source,co2emissions
Afghanistan,1980,all_energy_types,0.0
Afghanistan,1980,coal,0.0
Afghanistan,1980,gas,0.0
Afghanistan,1980,oil,0.0
Afghanistan,1980,nuclear,0.0
Afghanistan,1980,other_renewables,0.0
Albania,1980,all_energy_types,0.0
Albania,1980,coal,0.0
Albania,1980,gas,0.0
Albania,1980,oil,0.0
Albania,1980,nuclear,0.0
Albania,1980,other_renewables,0.0
Algeria,1980,all_energy_types,0.0
Algeria,1980,coal,0.0
Algeria,1980,gas,0.0
Algeria,1980,oil,0.0
Algeria,1980,nuclear,0.0
Algeria,1980,other_renewables,0.0
American Samoa,1980,all_energy_types,0.0
American Samoa,1980,coal,0.0
American Samoa,1980,gas,0.0
American Samoa,1980,oil,0.0
American Samoa,1980,nuclear,0.0
American Samoa,1980,other_renewables,0.0
Angola,1980,all_energy_types,0.0
Angola,1980,coal,0.0
Angola,1980,gas,0.0
Angola,1980,oil,0.0
Angola,1980,nuclear,0.0
Angola,1980,other_renewables,0.0
Antarctica,1980,all_energy_types,0.0
Antarctica,1980,coal,0.0
Antarctica,1980,gas,0.0
Antarctica,1980,oil,0.0
Antarctica,1980,nuclear,0.0
Antarctica,1980,other_renewables,0.0
Antigua and Barbuda,1980,all_energy_types,0.0
Antigua and Barbuda,1980,coal,0.0
Antigua and Barbuda,1980,gas,0.0
Antigua and Barbuda,1980,oil,0.0
Antigua and Barbuda,1980,nuclear,0.0
Antigua and Barbuda,1980,other_renewables,0.0
Argentina,1980,all_energy_types,0.0
Argentina,1980,coal,0.0
Argentina,1980,gas,0.0
Argentina,1980,oil,0.0
Argentina,1980,nuclear,0.0
Argentina,1980,other_renewables,0.0
Armenia,1980,all_energy_types,0.0
Armenia,1980,coal,0.0
Armenia,1980,gas,0.0
Armenia,1980,oil,0.0
Armenia,1980,nuclear,0.0
Armenia,1980,other_renewables,0.0
Aruba,1980,all_energy_types,0.0
Aruba,1980,coal,0.0
Aruba,1980,gas,0.0
Aruba,1980,oil,0.0
Aruba,1980,nuclear,0.0
Aruba,1980,other_renewables,0.0
Australia,1980,all_energy_types,0.0
Australia,1980,coal,0.0
Australia,1980,gas,0.0
Australia,1980,oil,0.0
Australia,1980,nuclear,0.0
Australia,1980,other_renewables,0.0
Austria,1980,all_energy_types,0.0
Austria,1980,coal,0.0
Austria,1980,gas,0.0
Austria,1980,oil,0.0
Austria,1980,nuclear,0.0
Austria,1980,other_renewables,0.0
Azerbaijan,1980,all_energy_types,0.0
Azerbaijan,1980,coal,0.0
Azerbaijan,1980,gas,0.0
Azerbaijan,1980,oil,0.0
Azerbaijan,1980,nuclear,0.0
Azerbaijan,1980,other_renewables,0.0
Bahrain,1980,all_energy_types,0.0
Bahrain,1980,coal,0.0
Bahrain,1980,gas,0.0
Bahrain,1980,oil,0.0
