region,year,population,co2emissions,co2PerCapita
Africa,1980,476386229,0.0,1.137
Africa,1981,490003902,0.0,1.132
Africa,1982,504034174,0.0,1.146
Africa,1983,518479760,0.0,1.159
Africa,1984,533345153,0.0,1.23
Africa,1985,548626141,0.0,1.226
Africa,1986,564327303,0.0,1.235
Africa,1987,580424299,0.0,1.201
Africa,1988,596849011,0.0,1.228
Africa,1989,613512106,0.0,1.15
Africa,1990,630349685,0.0,1.052
Africa,1991,647344041,0.0,1.068
Africa,1992,664512030,0.0,1.01
Africa,1993,681869334,0.0,1.043
Africa,1994,699445416,0.0,1.029
Africa,1995,717270108,0.0,1.077
Africa,1996,735361109,0.0,1.066
Africa,1997,753737584,0.0,1.079
Africa,1998,772437163,0.0,1.085
Africa,1999,791504167,0.0,1.05
Africa,2000,810984229,235.7,1.094
Africa,2001,830902549,243.33,1.064
Africa,2002,851298454,255.62,1.049
Africa,2003,872248339,272.26,1.109
Africa,2004,893842767,286.23,1.16
Africa,2005,916154282,298.15,1.155
Africa,2006,939210062,311.29,1.161
Africa,2007,963021837,324.95,1.176
Africa,2008,987623525,327.56,1.197
Africa,2009,1013045727,325.79,1.176
Africa,2010,1039304018,344.29,1.172
Africa,2011,1066409692,348.03,1.181
Africa,2012,1094343031,361.11,1.146
Africa,2013,1123045134,366.04,1.123
Africa,2014,1152433643,373.66,1.184
Africa,2015,1182438795,385.81,1.119
Africa,2016,1213040565,386.48,1.119
Africa,2017,1244222282,396.65,1.113
Africa,2018,1275921020,400.0,1.086
Africa,2019,1308064186,406.19,1.077
Africa,2020,1340598150,378.56,0.99
Africa,2021,1373486458,257.67,0.0
Asia,1980,-2147483648,0.0,1.663
Asia,1981,-2147483648,0.0,1.621
Asia,1982,-2147483648,0.0,1.645
Asia,1983,-2147483648,0.0,1.678
Asia,1984,-2147483648,0.0,1.741
Asia,1985,-2147483648,0.0,1.807
Asia,1986,-2147483648,0.0,1.846
Asia,1987,-2147483648,0.0,1.887
Asia,1988,-2147483648,0.0,2.0
Asia,1989,-2147483648,0.0,2.03
Asia,1990,-2147483648,0.0,2.055
Asia,1991,-2147483648,0.0,2.12
Asia,1992,-2147483648,0.0,2.179
Asia,1993,-2147483648,0.0,2.243
Asia,1994,-2147483648,0.0,2.305
Asia,1995,-2147483648,0.0,2.363
Asia,1996,-2147483648,0.0,2.422
Asia,1997,-2147483648,0.0,2.419
Asia,1998,-2147483648,0.0,2.312
Asia,1999,-2147483648,0.0,2.351
Asia,2000,-2147483648,2546.61,2.431
Asia,2001,-2147483648,2663.01,2.445
Asia,2002,-2147483648,2884.37,2.55
Asia,2003,-2147483648,3170.73,2.76
Asia,2004,-2147483648,3425.6,2.972
Asia,2005,-2147483648,3712.19,3.149
Asia,2006,-2147483648,4050.22,3.321
Asia,2007,-2147483648,4498.96,3.46
Asia,2008,-2147483648,4589.88,3.598
Asia,2009,-2147483648,4798.61,3.703
Asia,2010,-2147483648,5252.87,3.928
