region,year,source,consumptionElectricity,productionElectricity,energyPerCapita,elecPerCapita
Africa,1980,coal,543.557,0.0,0.0,0.0
Africa,1980,gas,186.914,0.0,392.358,0.0
Africa,1980,hydro,142.857,48.312,299.877,101.413
Africa,1980,nuclear,0.0,0.0,0.0,0.0
Africa,1980,oil,817.239,0.0,1715.496,0.0
Africa,1980,other_renewables,0.661,0.207,1.387,0.435
Africa,1980,renewables,143.518,48.519,301.264,101.848
Africa,1980,solar,0.0,0.0,0.0,0.0
Africa,1980,wind,0.0,0.0,0.0,0.0
Africa,1981,coal,635.799,0.0,0.0,0.0
Africa,1981,gas,228.491,0.0,466.305,0.0
Africa,1981,hydro,148.42,50.193,302.895,102.434
Africa,1981,nuclear,0.0,0.0,0.0,0.0
Africa,1981,oil,883.862,0.0,1803.785,0.0
Africa,1981,other_renewables,0.696,0.218,1.42,0.445
Africa,1981,renewables,149.116,50.411,304.315,102.879
Africa,1981,solar,0.0,0.0,0.0,0.0
Africa,1981,wind,0.0,0.0,0.0,0.0
Africa,1982,coal,701.176,0.0,0.0,0.0
Africa,1982,gas,246.734,0.0,489.517,0.0
Africa,1982,hydro,148.459,50.206,294.542,99.609
Africa,1982,nuclear,0.0,0.0,0.0,0.0
Africa,1982,oil,925.227,0.0,1835.644,0.0
Africa,1982,other_renewables,0.753,0.236,1.495,0.468
Africa,1982,renewables,149.213,50.442,296.037,100.077
Africa,1982,solar,0.0,0.0,0.0,0.0
Africa,1982,wind,0.0,0.0,0.0,0.0
Africa,1983,coal,713.246,0.0,0.0,0.0
Africa,1983,gas,271.275,0.0,523.213,0.0
Africa,1983,hydro,133.795,45.247,258.053,87.269
Africa,1983,nuclear,0.0,0.0,0.0,0.0
Africa,1983,oil,964.552,0.0,1860.347,0.0
Africa,1983,other_renewables,0.734,0.23,1.416,0.444
Africa,1983,renewables,134.53,45.477,259.469,87.713
Africa,1983,solar,0.0,0.0,0.0,0.0
Africa,1983,wind,0.0,0.0,0.0,0.0
Africa,1984,coal,762.898,0.0,0.0,0.0
Africa,1984,gas,259.903,0.0,487.307,0.0
Africa,1984,hydro,131.556,44.49,246.663,83.417
Africa,1984,nuclear,11.137,3.925,20.882,7.359
Africa,1984,oil,981.752,0.0,1840.744,0.0
Africa,1984,other_renewables,0.747,0.234,1.401,0.439
Africa,1984,renewables,132.303,44.724,248.063,83.856
Africa,1984,solar,0.0,0.0,0.0,0.0
Africa,1984,wind,0.0,0.0,0.0,0.0
Africa,1985,coal,787.166,139.514,0.0,254.298
Africa,1985,gas,278.843,27.927,508.256,50.903
Africa,1985,hydro,146.222,49.45,266.524,90.134
Africa,1985,nuclear,15.081,5.315,27.489,9.688
Africa,1985,oil,1007.092,34.296,1835.661,62.512
Africa,1985,other_renewables,0.859,0.269,1.565,0.49
Africa,1985,renewables,147.081,49.719,268.089,90.624
Africa,1985,solar,0.0,0.0,0.0,0.0
Africa,1985,wind,0.0,0.0,0.0,0.0
Africa,1986,coal,805.356,142.078,0.0,251.766
Africa,1986,gas,313.271,28.349,555.123,50.235
Africa,1986,hydro,151.236,51.145,267.994,90.631
Africa,1986,nuclear,24.979,8.803,44.263,15.599
Africa,1986,oil,988.593,37.184,1751.808,65.891
Africa,1986,other_renewables,1.973,0.659,3.496,1.168
Africa,1986,renewables,153.209,51.804,271.49,91.798
Africa,1986,solar,0.0,0.0,0.0,0.0
Africa,1986,wind,0.0,0.0,0.0,0.0
Africa,1987,coal,828.32,152.227,0.0,262.269
Africa,1987,gas,323.384,31.584,557.152,54.415
Africa,1987,hydro,145.059,49.056,249.92,84.518
Africa,1987,nuclear,17.499,6.167,30.149,10.625
Africa,1987,oil,1042.069,38.684,1795.357,66.647
Africa,1987,other_renewables,1.973,0.658,3.399,1.134
Africa,1987,renewables,147.033,49.714,253.319,85.652
Africa,1987,solar,0.0,0.0,0.0,0.0
Africa,1987,wind,0.0,0.0,0.0,0.0
Africa,1988,coal,890.161,152.449,0.0,255.423
Africa,1988,gas,358.445,34.009,600.562,56.982
Africa,1988,hydro,158.475,53.593,265.52,89.794
Africa,1988,nuclear,29.774,10.493,49.885,17.581
Africa,1988,oil,1086.268,42.613,1820.005,71.396
Africa,1988,other_renewables,1.884,0.626,3.156,1.049
Africa,1988,renewables,160.359,54.219,268.676,90.843
Africa,1988,solar,0.0,0.0,0.0,0.0
Africa,1988,wind,0.0,0.0,0.0,0.0
Africa,1989,coal,835.621,157.211,0.0,256.247
Africa,1989,gas,371.471,36.939,605.483,60.209
Africa,1989,hydro,166.408,56.276,271.239,91.728
Africa,1989,nuclear,31.494,11.099,51.333,18.091
Africa,1989,oil,1123.927,43.338,1831.955,70.639
Africa,1989,other_renewables,1.855,0.617,3.024,1.006
Africa,1989,renewables,168.263,56.893,274.262,92.734
Africa,1989,solar,0.0,0.0,0.0,0.0
Africa,1989,wind,0.0,0.0,0.0,0.0
Africa,1990,coal,877.678,164.674,0.0,261.242
Africa,1990,gas,398.645,42.646,632.419,67.655
Africa,1990,hydro,169.301,57.255,268.583,90.83
Africa,1990,nuclear,23.974,8.449,38.033,13.404
Africa,1990,oil,1142.403,43.007,1812.332,68.227
Africa,1990,other_renewables,2.425,0.796,3.848,1.263
Africa,1990,renewables,171.727,58.051,272.431,92.093
Africa,1990,solar,0.0,0.0,0.0,0.0
Africa,1990,wind,0.0,0.0,0.0,0.0
Africa,1991,coal,853.762,164.786,0.0,254.557
Africa,1991,gas,401.636,45.611,620.436,70.459
Africa,1991,hydro,179.346,60.651,277.049,93.693
Africa,1991,nuclear,25.946,9.144,40.081,14.125
Africa,1991,oil,1148.705,42.087,1774.49,65.014
Africa,1991,other_renewables,2.487,0.812,3.841,1.254
Africa,1991,renewables,181.833,61.463,280.89,94.947
Africa,1991,solar,0.0,0.0,0.0,0.0
