idCountry,year,electricityDemand,electricityGeneration,population
0,1980,0.0,0.0,13356500
0,1981,0.0,0.0,13171679
0,1982,0.0,0.0,12882518
0,1983,0.0,0.0,12537732
0,1984,0.0,0.0,12204306
0,1985,0.0,0.0,11938204
0,1986,0.0,0.0,11736177
0,1987,0.0,0.0,11604538
0,1988,0.0,0.0,11618008
0,1989,0.0,0.0,11868873
0,1990,0.0,0.0,12412311
0,1991,0.0,0.0,13299016
0,1992,0.0,0.0,14485543
0,1993,0.0,0.0,15816601
0,1994,0.0,0.0,17075728
0,1995,0.0,0.0,18110662
0,1996,0.0,0.0,18853444
0,1997,0.0,0.0,19357126
0,1998,0.0,0.0,19737770
0,1999,0.0,0.0,20170848
0,2000,0.57,0.47,20779958
0,2001,0.69,0.59,21606992
0,2002,0.79,0.69,22600774
0,2003,1.04,0.94,23680872
0,2004,0.99,0.89,24726690
0,2005,1.03,0.93,25654274
0,2006,1.27,0.84,26433058
0,2007,1.56,0.95,27100542
0,2008,1.48,0.73,27722282
0,2009,2.09,0.94,28394806
0,2010,2.51,0.94,29185512
0,2011,3.03,0.78,30117410
0,2012,3.95,0.88,31161378
0,2013,4.73,1.11,32269592
0,2014,4.87,1.16,33370804
0,2015,4.96,1.18,34413600
0,2016,5.54,1.21,35383028
0,2017,5.88,1.27,36296108
0,2018,6.16,1.17,37171920
0,2019,5.97,1.06,38041756
0,2020,5.69,0.78,38928340
1,1980,0.0,0.0,2682697
1,1981,0.0,0.0,2737018
1,1982,0.0,0.0,2790284
1,1983,0.0,0.0,2844867
1,1984,0.0,0.0,2904142
1,1985,0.0,0.0,2969671
1,1986,0.0,0.0,3044201
1,1987,0.0,0.0,3124892
1,1988,0.0,0.0,3200972
1,1989,0.0,0.0,3257913
1,1990,3.51,3.3,3286070
1,1991,2.65,3.82,3280397
1,1992,2.89,3.4,3245887
1,1993,3.39,3.53,3195196
1,1994,3.75,3.94,3146518
1,1995,4.4,4.47,3112923
1,1996,5.76,5.99,3098699
1,1997,5.1,5.23,3099747
1,1998,5.49,5.11,3110699
1,1999,5.78,5.42,3122700
1,2000,5.77,4.77,3129246
