country,year,population,carbon_intensity_elec,coal_consumption,coal_elec_per_capita,coal_electricity,electricity_demand,electricity_generation,energy_per_capita,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,greenhouse_gas_emissions,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,other_renewable_consumption,other_renewable_electricity,other_renewables_elec_per_capita,other_renewables_energy_per_capita,per_capita_electricity,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita
G20 (Ember),2000,0,478.068,0.0,0.0,5369.22,12787.08,12787.08,0.0,0.0,0.0,2031.06,0.0,6113.09,0.0,0.0,1955.07,0.0,0.0,0.0,2364.25,0.0,0.0,0.0,865.32,0.0,0.0,170.59,0.0,0.0,0.0,0.0,0.0,2157.23,0.0,0.0,0.0,1.05,0.0,0.0,0.0,30.52,0.0
G20 (Ember),2001,0,478.445,0.0,0.0,5426.6,12946.47,12946.47,0.0,0.0,0.0,2120.35,0.0,6194.18,0.0,0.0,1910.5,0.0,0.0,0.0,2432.61,0.0,0.0,0.0,853.52,0.0,0.0,164.33,0.0,0.0,0.0,0.0,0.0,2113.39,0.0,0.0,0.0,1.32,0.0,0.0,0.0,37.24,0.0
G20 (Ember),2002,0,482.314,0.0,0.0,5668.85,13377.62,13377.62,0.0,0.0,0.0,2259.26,0.0,6452.21,0.0,0.0,1928.52,0.0,0.0,0.0,2454.59,0.0,0.0,0.0,835.54,0.0,0.0,178.2,0.0,0.0,0.0,0.0,0.0,2159.38,0.0,0.0,0.0,1.66,0.0,0.0,0.0,51.0,0.0
G20 (Ember),2003,0,492.039,0.0,0.0,6047.33,13854.69,13854.69,0.0,0.0,0.0,2335.26,0.0,6817.05,0.0,0.0,1933.54,0.0,0.0,0.0,2427.67,0.0,0.0,0.0,856.89,0.0,0.0,189.96,0.0,0.0,0.0,0.0,0.0,2187.54,0.0,0.0,0.0,2.03,0.0,0.0,0.0,62.01,0.0
G20 (Ember),2004,0,487.053,0.0,0.0,6266.7,14522.98,14522.98,0.0,0.0,0.0,2506.92,0.0,7073.46,0.0,0.0,2097.82,0.0,0.0,0.0,2526.48,0.0,0.0,0.0,833.38,0.0,0.0,205.67,0.0,0.0,0.0,0.0,0.0,2389.5,0.0,0.0,0.0,2.67,0.0,0.0,0.0,83.34,0.0
G20 (Ember),2005,0,491.782,0.0,0.0,6599.93,15056.46,15056.46,0.0,0.0,0.0,2635.02,0.0,7404.5,0.0,0.0,2141.97,0.0,0.0,0.0,2531.2,0.0,0.0,0.0,817.97,0.0,0.0,225.29,0.0,0.0,0.0,0.0,0.0,2472.34,0.0,0.0,0.0,3.74,0.0,0.0,0.0,101.34,0.0
G20 (Ember),2006,0,492.914,0.0,0.0,6968.25,15652.45,15652.45,0.0,0.0,0.0,2804.67,0.0,7715.31,0.0,0.0,2243.59,0.0,0.0,0.0,2559.99,0.0,0.0,0.0,702.76,0.0,0.0,238.45,0.0,0.0,0.0,0.0,0.0,2616.78,0.0,0.0,0.0,5.05,0.0,0.0,0.0,129.69,0.0
G20 (Ember),2007,0,501.82,0.0,0.0,7432.43,16419.381,16419.381,0.0,0.0,0.0,3062.91,0.0,8239.58,0.0,0.0,2268.48,0.0,0.0,0.0,2502.69,0.0,0.0,0.0,720.06,0.0,0.0,259.24,0.0,0.0,0.0,0.0,0.0,2701.29,0.0,0.0,0.0,6.82,0.0,0.0,0.0,166.75,0.0
G20 (Ember),2008,0,494.419,0.0,0.0,7427.37,16642.77,16642.77,0.0,0.0,0.0,3120.05,0.0,8228.51,0.0,0.0,2440.95,0.0,0.0,0.0,2495.09,0.0,0.0,0.0,658.21,0.0,0.0,274.4,0.0,0.0,0.0,0.0,0.0,2942.05,0.0,0.0,0.0,11.24,0.0,0.0,0.0,215.46,0.0
G20 (Ember),2009,0,489.965,0.0,0.0,7323.33,16513.27,16513.27,0.0,0.0,0.0,3107.36,0.0,8090.92,0.0,0.0,2450.32,0.0,0.0,0.0,2463.31,0.0,0.0,0.0,584.18,0.0,0.0,296.02,0.0,0.0,0.0,0.0,0.0,3035.09,0.0,0.0,0.0,18.97,0.0,0.0,0.0,269.78,0.0
