country,year,population,carbon_intensity_elec,coal_consumption,coal_elec_per_capita,coal_electricity,electricity_demand,electricity_generation,energy_per_capita,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,greenhouse_gas_emissions,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,other_renewable_consumption,other_renewable_electricity,other_renewables_elec_per_capita,other_renewables_energy_per_capita,per_capita_electricity,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita
Africa,1980,476386229,0.0,543.557,0.0,0.0,0.0,0.0,3550.119,186.914,0.0,0.0,392.358,0.0,142.857,101.413,48.312,299.877,0.0,0.0,0.0,0.0,817.239,0.0,0.0,1715.496,0.661,0.207,0.435,1.387,0.0,143.518,101.848,48.519,301.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1981,490003902,0.0,635.799,0.0,0.0,0.0,0.0,3871.944,228.491,0.0,0.0,466.305,0.0,148.42,102.434,50.193,302.895,0.0,0.0,0.0,0.0,883.862,0.0,0.0,1803.785,0.696,0.218,0.445,1.42,0.0,149.116,102.879,50.411,304.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1982,504034174,0.0,701.176,0.0,0.0,0.0,0.0,4012.326,246.734,0.0,0.0,489.517,0.0,148.459,99.609,50.206,294.542,0.0,0.0,0.0,0.0,925.227,0.0,0.0,1835.644,0.753,0.236,0.468,1.495,0.0,149.213,100.077,50.442,296.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1983,518479760,0.0,713.246,0.0,0.0,0.0,0.0,4018.678,271.275,0.0,0.0,523.213,0.0,133.795,87.269,45.247,258.053,0.0,0.0,0.0,0.0,964.552,0.0,0.0,1860.347,0.734,0.23,0.444,1.416,0.0,134.53,87.713,45.477,259.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1984,533345153,0.0,762.898,0.0,0.0,0.0,0.0,4027.398,259.903,0.0,0.0,487.307,0.0,131.556,83.417,44.49,246.663,11.137,7.359,3.925,20.882,981.752,0.0,0.0,1840.744,0.747,0.234,0.439,1.401,0.0,132.303,83.856,44.724,248.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1985,548626141,0.0,787.166,254.298,139.514,0.0,258.986,4074.291,278.843,50.903,27.927,508.256,0.0,146.222,90.134,49.45,266.524,15.081,9.688,5.315,27.489,1007.092,62.512,34.296,1835.661,0.859,0.269,0.49,1.565,472.063,147.081,90.624,49.719,268.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1986,564327303,0.0,805.356,251.766,142.078,0.0,270.11,4049.792,313.271,50.235,28.349,555.123,0.0,151.236,90.631,51.145,267.994,24.979,15.599,8.803,44.263,988.593,65.891,37.184,1751.808,1.973,0.659,1.168,3.496,478.64,153.209,91.798,51.804,271.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1987,580424299,0.0,828.32,262.269,152.227,0.0,280.26,4063.069,323.384,54.415,31.584,557.152,0.0,145.059,84.518,49.056,249.92,17.499,10.625,6.167,30.149,1042.069,66.647,38.684,1795.357,1.973,0.658,1.134,3.399,482.853,147.033,85.652,49.714,253.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1988,596849011,0.0,890.161,255.423,152.449,0.0,295.296,4230.562,358.445,56.982,34.009,600.562,0.0,158.475,89.794,53.593,265.52,29.774,17.581,10.493,49.885,1086.268,71.396,42.613,1820.005,1.884,0.626,1.049,3.156,494.758,160.359,90.843,54.219,268.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1989,613512106,0.0,835.621,256.247,157.211,0.0,306.648,4125.062,371.471,60.209,36.939,605.483,0.0,166.408,91.728,56.276,271.239,31.494,18.091,11.099,51.333,1123.927,70.639,43.338,1831.955,1.855,0.617,1.006,3.024,499.824,168.263,92.734,56.893,274.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1990,630349685,0.0,877.678,261.242,164.674,0.0,318.832,4147.583,398.645,67.655,42.646,632.419,0.0,169.301,90.83,57.255,268.583,23.974,13.404,8.449,38.033,1142.403,68.227,43.007,1812.332,2.425,0.796,1.263,3.848,505.802,171.727,92.093,58.051,272.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1991,647344041,0.0,853.762,254.557,164.786,0.0,324.906,4034.766,401.636,70.459,45.611,620.436,0.0,179.346,93.693,60.651,277.049,25.946,14.125,9.144,40.081,1148.705,65.014,42.087,1774.49,2.487,0.812,1.254,3.841,501.906,181.833,94.947,61.463,280.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1992,664512030,0.0,858.831,248.935,165.42,0.0,327.925,3988.89,421.27,76.063,50.545,633.954,0.0,171.092,87.072,57.86,257.471,26.355,13.977,9.288,39.66,1170.525,64.152,42.63,1761.48,2.592,0.842,1.267,3.901,493.483,173.684,88.339,58.703,261.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1993,681869334,0.0,871.714,258.051,175.957,0.0,339.122,3894.49,412.644,80.856,55.133,605.166,0.0,167.61,83.128,56.683,245.809,20.586,10.64,7.255,30.191,1180.077,61.31,41.806,1730.649,2.897,0.938,1.375,4.248,497.342,170.512,84.506,57.622,250.066,0.0,0.0,0.0,0.0,0.006,0.003,0.002,0.009
Africa,1994,699445416,0.0,894.448,257.052,179.794,0.0,351.374,3929.65,431.828,88.787,62.102,617.386,0.0,170.311,82.345,57.596,243.494,27.515,13.864,9.697,39.339,1221.885,56.937,39.825,1746.933,2.573,0.835,1.194,3.679,502.361,172.9,83.547,58.436,247.196,0.0,0.0,0.0,0.0,0.016,0.008,0.005,0.023
Africa,1995,717270108,0.0,922.471,260.552,186.886,0.0,362.755,3990.73,461.243,92.453,66.314,643.054,0.0,176.736,83.328,59.769,246.401,32.067,15.756,11.301,44.707,1266.782,50.444,36.182,1766.115,3.114,1.019,1.42,4.341,505.744,179.868,84.757,60.794,250.768,0.0,0.0,0.0,0.0,0.019,0.009,0.006,0.026
Africa,1996,735361109,0.0,935.228,268.292,197.291,0.0,382.232,3991.195,484.192,95.18,69.992,658.441,0.0,184.269,84.743,62.316,250.583,33.412,16.013,11.775,45.436,1293.971,50.817,37.369,1759.641,3.877,1.258,1.711,5.272,519.789,188.167,86.463,63.582,255.884,0.0,0.0,0.0,0.0,0.021,0.01,0.007,0.029
Africa,1997,753737584,0.0,959.019,273.364,206.045,0.0,400.97,3973.243,474.476,100.625,75.844,629.497,0.0,188.811,84.714,63.852,250.5,35.886,16.779,12.647,47.611,1332.273,51.178,38.575,1767.556,4.297,1.387,1.84,5.7,531.975,193.129,86.564,65.246,256.228,0.0,0.0,0.0,0.0,0.021,0.01,0.007,0.028
Africa,1998,772437163,0.0,937.039,261.118,201.698,0.0,406.524,3936.782,499.337,100.112,77.33,646.444,0.0,197.098,86.292,66.655,255.164,38.593,17.608,13.601,49.963,1363.509,55.793,43.096,1765.203,5.319,1.713,2.217,6.886,526.287,202.439,88.519,68.375,262.079,0.0,0.0,0.0,0.0,0.022,0.01,0.008,0.029
Africa,1999,791504167,0.0,966.011,252.425,199.796,0.0,418.641,3961.266,504.02,108.768,86.09,636.787,0.0,209.013,89.304,70.684,264.07,36.425,16.218,12.837,46.02,1414.56,56.757,44.924,1787.18,5.271,1.696,2.143,6.66,528.919,214.343,91.472,72.4,270.804,0.0,0.0,0.0,0.0,0.059,0.025,0.02,0.074
Africa,2000,810984229,535.458,963.731,256.742,208.214,424.32,440.184,3955.724,556.822,113.249,91.843,686.601,235.7,222.531,92.796,75.256,274.396,36.916,16.042,13.01,45.52,1420.386,57.42,46.566,1751.435,7.089,2.269,2.798,8.742,542.777,230.174,95.825,77.712,283.821,0.035,0.015,0.012,0.044,0.519,0.216,0.176,0.64
Africa,2001,830902549,530.0,975.926,258.07,214.431,440.73,459.113,3995.127,634.636,121.529,100.978,763.791,243.33,237.576,97.327,80.869,285.926,30.218,12.9,10.719,36.367,1432.664,57.057,47.409,1724.226,7.275,2.335,2.811,8.756,552.547,246.117,100.656,83.635,296.204,0.044,0.018,0.015,0.053,1.221,0.5,0.416,1.469
Africa,2002,851298454,524.265,934.422,261.833,222.898,464.61,487.578,3964.461,670.605,136.209,115.955,787.744,255.62,248.178,99.879,85.026,291.529,33.586,14.086,11.991,39.452,1479.167,55.146,46.946,1737.542,7.148,2.286,2.686,8.396,572.746,256.67,103.105,87.773,301.504,0.049,0.02,0.017,0.058,1.295,0.521,0.444,1.521
Africa,2003,872248339,534.844,1017.048,269.436,235.015,487.34,509.045,4056.516,711.507,142.143,123.984,815.716,272.26,239.477,94.669,82.575,274.551,35.24,14.518,12.663,40.402,1524.815,55.667,48.555,1748.143,8.049,2.622,3.006,9.228,583.602,249.137,98.312,85.753,285.626,0.058,0.023,0.02,0.067,1.553,0.614,0.536,1.781
Africa,2004,893842767,529.276,1119.162,274.315,245.195,516.3,540.796,4239.049,783.068,157.906,141.143,876.069,286.23,251.336,97.578,87.219,281.186,36.958,14.952,13.365,41.347,1586.511,52.065,46.538,1774.933,9.088,2.979,3.333,10.167,605.023,262.709,101.798,90.991,293.909,0.071,0.027,0.025,0.079,2.214,0.86,0.768,2.477
