country,year,population,carbon_intensity_elec,coal_consumption,coal_elec_per_capita,coal_electricity,electricity_demand,electricity_generation,energy_per_capita,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,greenhouse_gas_emissions,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,other_renewable_consumption,other_renewable_electricity,other_renewables_elec_per_capita,other_renewables_energy_per_capita,per_capita_electricity,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita
World,1980,-2147483648,0.0,20857.609,0.0,0.0,0.0,0.0,17480.592,14236.961,0.0,0.0,3193.381,0.0,5120.469,388.413,1731.649,1148.532,2020.096,159.686,711.924,453.112,35514.422,0.0,0.0,7965.961,153.789,49.717,11.152,34.495,0.0,5304.147,399.567,1781.377,1189.732,0.0,0.0,0.0,0.0,0.031,0.002,0.01,0.007
World,1981,-2147483648,0.0,21149.68,0.0,0.0,0.0,0.0,17105.078,14395.873,0.0,0.0,3172.998,0.0,5230.628,389.885,1768.904,1152.884,2385.643,185.31,840.751,525.82,34251.57,0.0,0.0,7549.398,164.908,53.486,11.789,36.347,0.0,5422.865,401.676,1822.4,1195.255,0.0,0.0,0.0,0.0,0.031,0.002,0.01,0.007
World,1982,-2147483648,0.0,21385.451,0.0,0.0,0.0,0.0,16715.213,14469.734,0.0,0.0,3133.752,0.0,5325.266,390.028,1800.908,1153.308,2588.317,197.553,912.178,560.559,33185.266,0.0,0.0,7187.028,191.233,61.709,13.364,41.416,0.0,5551.776,403.396,1862.636,1202.364,0.0,0.0,0.0,0.0,0.055,0.004,0.019,0.012
World,1983,-2147483648,0.0,22046.346,0.0,0.0,0.0,0.0,16688.812,14703.833,0.0,0.0,3128.764,0.0,5552.542,399.562,1877.769,1181.501,2933.459,219.98,1033.813,624.198,32937.605,0.0,0.0,7008.648,211.771,68.355,14.545,45.062,0.0,5808.928,414.115,1946.16,1236.056,0.009,0.001,0.003,0.002,0.097,0.007,0.033,0.021
World,1984,-2147483648,0.0,23001.078,0.0,0.0,0.0,0.0,17176.908,15902.68,0.0,0.0,3324.133,0.0,5740.62,405.805,1941.373,1199.96,3559.857,262.242,1254.568,744.116,33680.055,0.0,0.0,7040.133,236.321,76.346,15.959,49.398,0.0,6030.804,421.774,2017.771,1260.617,0.019,0.001,0.006,0.004,0.132,0.009,0.045,0.028
World,1985,-2147483648,0.0,23987.826,769.529,3748.311,0.0,9883.152,17306.252,16262.222,292.82,1426.304,3338.636,0.0,5854.194,406.449,1979.782,1201.867,4224.837,305.676,1488.922,867.36,33660.102,227.649,1108.861,6910.422,244.355,79.072,16.233,50.166,2029.012,6162.349,422.698,2058.929,1265.131,0.035,0.002,0.012,0.007,0.19,0.013,0.064,0.039
World,1986,-2147483648,0.0,24258.033,773.889,3838.927,0.0,10178.033,17373.805,16421.109,288.811,1432.666,3310.331,0.0,5933.473,404.509,2006.593,1196.129,4525.086,321.483,1594.736,912.212,34700.832,235.12,1166.326,6995.339,265.205,85.915,17.32,53.463,2051.789,6278.812,421.86,2092.662,1265.745,0.045,0.003,0.015,0.009,0.411,0.028,0.139,0.083
World,1987,-2147483648,0.0,25212.426,803.146,4057.908,0.0,10667.898,17652.521,17281.895,300.145,1516.49,3420.452,0.0,6013.859,402.528,2033.778,1190.27,4922.331,343.34,1734.733,974.233,35393.543,233.763,1181.094,7005.129,283.88,91.96,18.201,56.186,2111.402,6379.483,420.769,2125.944,1262.635,0.031,0.002,0.011,0.006,0.578,0.039,0.195,0.114
World,1988,-2147483648,0.0,25967.129,816.338,4200.405,0.0,11137.956,17988.893,18088.848,299.477,1540.938,3515.523,0.0,6206.563,407.925,2098.947,1206.23,5366.448,367.56,1891.249,1042.956,36552.59,243.781,1254.357,7103.906,292.291,94.602,18.386,56.806,2164.635,6585.428,426.377,2193.891,1279.862,0.03,0.002,0.01,0.006,0.98,0.064,0.332,0.191
World,1989,-2147483648,0.0,26215.676,835.649,4376.661,0.0,11656.966,18015.348,18867.309,330.031,1728.516,3602.394,0.0,6173.583,398.629,2087.793,1178.741,5518.996,371.367,1945.011,1053.759,37156.832,257.18,1346.963,7094.469,321.919,104.53,19.958,61.465,2225.701,6595.417,419.143,2195.235,1259.284,0.775,0.05,0.262,0.148,7.835,0.506,2.65,1.496
