country,source,year,consumptionElectricity,productionElectricity,gdp,population,intensityPerCapita,intensityByGDP,co2emissions
Afghanistan,all_energy_types,1980,7.791,21.265,0.0,13356.5,1.99,0.0,0.0
Afghanistan,coal,1980,0.727,0.69,0.0,13356.5,1.99,0.0,0.0
Afghanistan,natural_gas,1980,0.614,18.411,0.0,13356.5,1.99,0.0,0.0
Afghanistan,petroleum_n_other_liquids,1980,4.286,0.0,0.0,13356.5,1.99,0.0,0.0
Afghanistan,nuclear,1980,0.0,0.0,0.0,13356.5,1.99,0.0,0.0
Afghanistan,renewables_n_other,1980,2.165,2.165,0.0,13356.5,1.99,0.0,0.0
Albania,all_energy_types,1980,47.765,45.59,0.0,2682.7,60.753,0.0,0.0
Albania,coal,1980,7.127,3.877,0.0,2682.7,60.753,0.0,0.0
Albania,natural_gas,1980,3.068,3.068,0.0,2682.7,60.753,0.0,0.0
Albania,petroleum_n_other_liquids,1980,29.101,29.758,0.0,2682.7,60.753,0.0,0.0
Albania,nuclear,1980,0.0,0.0,0.0,2682.7,60.753,0.0,0.0
Albania,renewables_n_other,1980,8.469,8.887,0.0,2682.7,60.753,0.0,0.0
Algeria,all_energy_types,1980,228.798,821.48,0.0,19221.7,40.615,0.0,0.0
Algeria,coal,1980,0.747,0.022,0.0,19221.7,40.615,0.0,0.0
Algeria,natural_gas,1980,159.078,142.133,0.0,19221.7,40.615,0.0,0.0
Algeria,petroleum_n_other_liquids,1980,68.209,678.57,0.0,19221.7,40.615,0.0,0.0
Algeria,nuclear,1980,0.0,0.0,0.0,19221.7,40.615,0.0,0.0
Algeria,renewables_n_other,1980,0.764,0.755,0.0,19221.7,40.615,0.0,0.0
American Samoa,all_energy_types,1980,1.727,0.0,0.0,32.646,180.516,0.0,0.0
American Samoa,coal,1980,0.0,0.0,0.0,32.646,180.516,0.0,0.0
American Samoa,natural_gas,1980,0.0,0.0,0.0,32.646,180.516,0.0,0.0
American Samoa,petroleum_n_other_liquids,1980,1.727,0.0,0.0,32.646,180.516,0.0,0.0
American Samoa,nuclear,1980,0.0,0.0,0.0,32.646,180.516,0.0,0.0
American Samoa,renewables_n_other,1980,0.0,0.0,0.0,32.646,180.516,0.0,0.0
Angola,all_energy_types,1980,17.105,98.207,0.0,8341.29,6.997,0.0,0.0
Angola,coal,1980,0.0,0.0,0.0,8341.29,6.997,0.0,0.0
Angola,natural_gas,1980,2.823,2.823,0.0,8341.29,6.997,0.0,0.0
Angola,petroleum_n_other_liquids,1980,12.669,93.771,0.0,8341.29,6.997,0.0,0.0
Angola,nuclear,1980,0.0,0.0,0.0,8341.29,6.997,0.0,0.0
Angola,renewables_n_other,1980,1.614,1.614,0.0,8341.29,6.997,0.0,0.0
Antarctica,all_energy_types,1980,0.625,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,petroleum_n_other_liquids,1980,0.625,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,all_energy_types,1980,1.701,0.0,0.0,0.0,0.0,0.0,0.0
