idRegion,year,population,co2emissions,co2PerCapita
0,1980,476386229,0.0,1.137
0,1981,490003902,0.0,1.132
0,1982,504034174,0.0,1.146
0,1983,518479760,0.0,1.159
0,1984,533345153,0.0,1.23
0,1985,548626141,0.0,1.226
0,1986,564327303,0.0,1.235
0,1987,580424299,0.0,1.2009999999999998
0,1988,596849011,0.0,1.228
0,1989,613512106,0.0,1.15
0,1990,630349685,0.0,1.052
0,1991,647344041,0.0,1.068
0,1992,664512030,0.0,1.01
0,1993,681869334,0.0,1.043
0,1994,699445416,0.0,1.029
0,1995,717270108,0.0,1.077
0,1996,735361109,0.0,1.0659999999999998
0,1997,753737584,0.0,1.079
0,1998,772437163,0.0,1.085
0,1999,791504167,0.0,1.05
0,2000,810984229,235.7,1.094
0,2001,830902549,243.33,1.064
0,2002,851298454,255.62,1.0490000000000002
0,2003,872248339,272.26,1.109
0,2004,893842767,286.23,1.16
0,2005,916154282,298.15,1.155
0,2006,939210062,311.29,1.161
0,2007,963021837,324.95,1.176
0,2008,987623525,327.56,1.197
0,2009,1013045727,325.79,1.176
0,2010,1039304018,344.29,1.172
0,2011,1066409692,348.03,1.181
0,2012,1094343031,361.11,1.146
0,2013,1123045134,366.04,1.123
0,2014,1152433643,373.66,1.1840000000000002
0,2015,1182438795,385.81,1.119
0,2016,1213040565,386.48,1.119
0,2017,1244222282,396.65,1.113
0,2018,1275921020,400.0,1.086
0,2019,1308064186,406.19,1.077
0,2020,1340598150,378.56,0.99
0,2021,1373486458,257.67,0.0
1,1980,-2147483648,0.0,1.663
1,1981,-2147483648,0.0,1.621
1,1982,-2147483648,0.0,1.645
1,1983,-2147483648,0.0,1.6780000000000002
1,1984,-2147483648,0.0,1.741
1,1985,-2147483648,0.0,1.807
1,1986,-2147483648,0.0,1.846
1,1987,-2147483648,0.0,1.887
1,1988,-2147483648,0.0,2.0
1,1989,-2147483648,0.0,2.03
1,1990,-2147483648,0.0,2.055
1,1991,-2147483648,0.0,2.12
1,1992,-2147483648,0.0,2.1790000000000003
