idCountry,year,electricityDemand,electricityGeneration,population,co2PerCapita
0,1980,0.0,0.0,13356500,0.132
0,1981,0.0,0.0,13171679,0.15
0,1982,0.0,0.0,12882518,0.163
0,1983,0.0,0.0,12537732,0.201
0,1984,0.0,0.0,12204306,0.231
0,1985,0.0,0.0,11938204,0.293
0,1986,0.0,0.0,11736177,0.267
0,1987,0.0,0.0,11604538,0.268
0,1988,0.0,0.0,11618008,0.246
0,1989,0.0,0.0,11868873,0.233
0,1990,0.0,0.0,12412311,0.21
0,1991,0.0,0.0,13299016,0.182
0,1992,0.0,0.0,14485543,0.095
0,1993,0.0,0.0,15816601,0.084
0,1994,0.0,0.0,17075728,0.075
0,1995,0.0,0.0,18110662,0.068
0,1996,0.0,0.0,18853444,0.062
0,1997,0.0,0.0,19357126,0.056
0,1998,0.0,0.0,19737770,0.052000000000000005
0,1999,0.0,0.0,20170848,0.04
0,2000,0.57,0.47,20779958,0.036000000000000004
0,2001,0.69,0.59,21606992,0.037000000000000005
0,2002,0.79,0.69,22600774,0.046
0,2003,1.04,0.94,23680872,0.05
0,2004,0.99,0.89,24726690,0.036000000000000004
0,2005,1.03,0.93,25654274,0.051
0,2006,1.27,0.84,26433058,0.062
0,2007,1.56,0.95,27100542,0.084
0,2008,1.48,0.73,27722282,0.152
0,2009,2.09,0.94,28394806,0.237
0,2010,2.51,0.94,29185512,0.28800000000000003
0,2011,3.03,0.78,30117410,0.402
0,2012,3.95,0.88,31161378,0.328
0,2013,4.73,1.11,32269592,0.262
0,2014,4.87,1.16,33370804,0.233
0,2015,4.96,1.18,34413600,0.23
0,2016,5.54,1.21,35383028,0.191
0,2017,5.88,1.27,36296108,0.189
0,2018,6.16,1.17,37171920,0.224
0,2019,5.97,1.06,38041756,0.319
0,2020,5.69,0.78,38928340,0.312
1,1980,0.0,0.0,2682697,1.926
1,1981,0.0,0.0,2737018,2.68
1,1982,0.0,0.0,2790284,2.617
1,1983,0.0,0.0,2844867,2.68
1,1984,0.0,0.0,2904142,2.692
1,1985,0.0,0.0,2969671,2.652
1,1986,0.0,0.0,3044201,2.644
1,1987,0.0,0.0,3124892,2.38
1,1988,0.0,0.0,3200972,2.287
1,1989,0.0,0.0,3257913,2.755
1,1990,3.51,3.3,3286070,1.6569999999999998
1,1991,2.65,3.82,3280397,1.289
1,1992,2.89,3.4,3245887,0.769
1,1993,3.39,3.53,3195196,0.725
1,1994,3.75,3.94,3146518,0.608
1,1995,4.4,4.47,3112923,0.664
1,1996,5.76,5.99,3098699,0.643
1,1997,5.1,5.23,3099747,0.494
1,1998,5.49,5.11,3110699,0.561
1,1999,5.78,5.42,3122700,0.953
1,2000,5.77,4.77,3129246,0.96
1,2001,5.48,3.73,3129701,1.029
1,2002,5.85,3.74,3126183,1.199
1,2003,5.92,5.0,3118017,1.357
1,2004,6.09,5.61,3104893,1.3219999999999998
1,2005,5.81,5.44,3086810,1.36
1,2006,6.13,5.52,3063021,1.255
1,2007,5.69,2.86,3033993,1.262
1,2008,6.23,3.8,3002683,1.423
1,2009,6.6,5.2,2973044,1.431
1,2010,6.62,7.57,2948029,1.509
1,2011,7.45,4.19,2928601,1.7180000000000002
1,2012,7.26,4.72,2914091,1.602
1,2013,9.28,6.96,2903788,1.6969999999999998
1,2014,7.79,4.72,2896307,1.941
1,2015,7.29,5.89,2890524,1.555
1,2016,7.74,7.78,2886427,1.556
1,2017,7.43,4.52,2884169,1.838
1,2018,7.64,8.55,2882735,1.642
1,2019,7.61,5.2,2880913,1.6880000000000002
1,2020,7.59,5.31,2877800,1.5759999999999998
2,1980,0.0,0.0,19221658,3.455
2,1981,0.0,0.0,19824296,2.338
2,1982,0.0,0.0,20452900,1.915
2,1983,0.0,0.0,21101876,2.488
2,1984,0.0,0.0,21763578,3.26
2,1985,0.0,12.274000000000001,22431508,3.237
2,1986,0.0,12.981,23102386,3.293
2,1987,0.0,12.722000000000001,23774288,3.528
2,1988,0.0,13.966,24443472,3.425
2,1989,0.0,15.324000000000002,25106192,3.179
2,1990,0.0,16.104,25758872,2.979
2,1991,0.0,17.345,26400468,2.985
2,1992,0.0,18.285999999999998,27028330,2.9560000000000004
2,1993,0.0,19.414,27635518,2.965
2,1994,0.0,19.883,28213778,3.053
2,1995,0.0,19.715,28757788,3.303
2,1996,0.0,20.654,29266414,3.307
2,1997,0.0,21.497,29742980,2.925
2,1998,0.0,23.261999999999997,30192750,3.531
2,1999,0.0,24.756999999999998,30623406,2.9930000000000003
2,2000,23.82,25.412,31042238,2.649
2,2001,24.98,26.625,31451514,2.664
2,2002,25.98,27.648000000000003,31855110,2.807
2,2003,27.82,29.528000000000002,32264158,2.822
2,2004,29.4,31.249000000000002,32692152,2.687
2,2005,31.98,33.915,33149718,3.212
2,2006,33.2,35.227,33641008,2.979
2,2007,34.98,37.31,34166976,3.173
2,2008,37.78,40.236999999999995,34730604,3.139
2,2009,36.18,43.111999999999995,35333884,3.401
2,2010,42.93,45.735,35977448,3.275
2,2011,48.04,53.074,36661436,3.268
2,2012,53.94,57.397,37383900,3.427
2,2013,56.23,59.89,38140136,3.472
2,2014,60.21,64.241,38923688,3.662
2,2015,64.65,68.798,39728020,3.768
2,2016,66.51,70.997,40551400,3.673
2,2017,71.16,76.017,41389176,3.743
2,2018,72.02,76.663,42228416,3.824
2,2019,76.55,81.527,43053056,3.871
2,2020,72.66,79.155,43851044,3.535
2,2021,0.0,84.25399999999998,44616624,0.0
3,1980,0.0,0.0,32647,0.0
3,1981,0.0,0.0,33697,0.0
3,1982,0.0,0.0,34969,0.0
3,1983,0.0,0.0,36413,0.0
3,1984,0.0,0.0,37946,0.0
3,1985,0.0,0.0,39521,0.0
3,1986,0.0,0.0,41114,0.0
3,1987,0.0,0.0,42741,0.0
3,1988,0.0,0.0,44346,0.0
3,1989,0.0,0.0,45894,0.0
3,1990,0.0,0.0,47351,0.0
3,1991,0.0,0.0,48682,0.0
3,1992,0.0,0.0,49900,0.0
