country,namePlant,latitude,longitude,primaryfuel
Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,32.322,65.119,hydro
Afghanistan,Kandahar DOG,31.67,65.795,solar
Afghanistan,Kandahar JOL,31.623,65.792,solar
Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,34.556,69.4787,hydro
Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,34.641,69.717,hydro
Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,34.4847,70.3633,hydro
Afghanistan,Northwest Kabul Power Plant Afghanistan,34.5638,69.1134,gas
Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,35.9416,68.71,hydro
Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,34.5865,69.7757,hydro
Albania,Vlora,40.4874,19.434,other
Albania,Vau i Dijes,42.0137,19.6359,hydro
Albania,Shkopet,41.6796,19.8305,hydro
Albania,Ulez,41.6796,19.8936,hydro
Albania,Koman,42.1033,19.8224,hydro
Albania,Fierza,42.2514,20.0431,hydro
Albania,Bistrica 1,39.9116,20.1047,hydro
Albania,Lanabregas,41.3428,19.8964,hydro
Algeria,Ras Djinet,36.8509,3.6983,gas
Algeria,Oued el Ma,35.68,5.9861,solar
Algeria,Oued El Kebrit,35.919,7.87,solar
Algeria,Naâma,33.274,-0.372,solar
Algeria,Msila 1,35.7071,4.4804,gas
Algeria,Marsat,35.8,-0.1924,gas
Algeria,Labreg,34.5056,6.9848,gas
Algeria,Labiodh Sidi Cheikh,32.945,0.555,solar
Algeria,Koudiet Eddraouch,36.885,8.0778,gas
Algeria,Kahrama IPP,35.8064,-0.2476,gas
Algeria,Ras el Oued,36.01,5.035,solar
Algeria,Marsat TG,35.8,-0.1924,gas
Algeria,Ravin Blanc,35.7095,-0.6319,gas
Algeria,Tiaret,35.3396,1.3562,gas
Algeria,Relizane,35.7835,0.5407,gas
Algeria,SKB IPP,36.1399,2.9296,gas
Algeria,SKS IPP SNC Lavalin,36.8789,6.9366,gas
Algeria,SPP1 Thermal,32.9475,3.238,gas
Algeria,Skikda,36.88,6.935,gas
Algeria,Tamanrasset,22.849,5.45,solar
Algeria,Terga,35.4608,-1.2295,gas
Algeria,Jijel,36.8139,5.876,gas
Algeria,Tilghemt 1,33.1319,3.348,gas
Algeria,Tilghemt 2,33.1377,3.3678,gas
Algeria,Timimoun,29.22,0.223,solar
Algeria,Tindouf,27.752,-8.154,solar
Algeria,Zaouiet Kounta,27.241,-0.174,solar
Algeria,Reggane,26.768,0.137,solar
Algeria,In Salah,27.183,2.504,solar
Algeria,Télagh,34.692,-0.601,solar
Algeria,Hauts Plateaux Est,35.68,5.9861,solar
Algeria,Adrar,27.908,-0.317,solar
Algeria,Ighil Emda,36.4739,5.2719,hydro
Algeria,Ain Azel,35.88,5.475,solar
Algeria,Ain Djasser,35.8665,6.0262,gas
Algeria,Ain Sekhouna,34.532,0.804,solar
Algeria,Ain el Ibel I,34.346,3.164,solar
Algeria,Ain el Ibel II,34.342,3.169,solar
Algeria,Ain el Melh,34.861,4.204,solar
Algeria,Algerie Sud-Ouest,27.908,-0.317,solar
Algeria,Annaba,36.8924,7.7634,gas
Algeria,Aoulef,26.9989,1.3351,solar
Algeria,Bir Rebaa,31.285,8.565,solar
Algeria,Boufarik 1,36.5914,2.9223,gas
Algeria,Arbaa,36.5988,3.1375,gas
Algeria,Boutelilis,35.5658,-0.9386,gas
Algeria,Hauts Plateaux Centre,34.342,3.169,solar
Algeria,Hassi R'mel ISCC,33.123,3.356,solar
Algeria,Hassi Messoud Ouest,31.8065,5.9924,gas
Algeria,Boufarik 2,36.596,2.878,gas
Algeria,Hassi Messoud,31.6703,6.0531,gas
Algeria,Hassi Messaoud Mobile,31.6703,6.0531,gas
Algeria,Hassi Messoud Nord 2,31.7877,6.0517,gas
Algeria,Hadjret Ennous,36.5767,2.0797,gas
Algeria,HPC Ouargla,32.602,5.834,solar
Algeria,F'Krina,35.7666,7.3619,gas
Algeria,El Kheneg,33.727,2.811,solar
Algeria,Chelghoum El Aïd,36.225,6.11,solar
Algeria,Hamma 2,36.7489,3.0823,gas
Angola,Luanda Refinery,-8.8383,13.2344,oil
Angola,Xitoto,-15.3333,15.0,oil
