idCountry,idPrimaryFuel,namePlant,latitude,longitude
0,6,Kajaki Hydroelectric Power Plant Afghanistan,32.322,65.119
0,13,Kandahar DOG,31.67,65.795
0,13,Kandahar JOL,31.623,65.792
0,6,Mahipar Hydroelectric Power Plant Afghanistan,34.556,69.4787
0,6,Naghlu Dam Hydroelectric Power Plant Afghanistan,34.641,69.717
0,6,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,34.4847,70.3633
0,4,Northwest Kabul Power Plant Afghanistan,34.5638,69.1134
0,6,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,35.9416,68.71
0,6,Sarobi Dam Hydroelectric Power Plant Afghanistan,34.5865,69.7757
1,6,Bistrica 1,39.9116,20.1047
1,6,Fierza,42.2514,20.0431
1,6,Koman,42.1033,19.8224
1,6,Lanabregas,41.3428,19.8964
1,6,Shkopet,41.6796,19.8305
1,6,Ulez,41.6796,19.8936
1,6,Vau i Dijes,42.0137,19.6359
1,9,Vlora,40.4874,19.434
2,13,Adrar,27.908,-0.317
2,13,Ain Azel,35.88,5.475
2,4,Ain Djasser,35.8665,6.0262
2,13,Ain Sekhouna,34.532,0.804
2,13,Ain el Ibel I,34.346,3.164
2,13,Ain el Ibel II,34.342,3.169
2,13,Ain el Melh,34.861,4.204
2,13,Algerie Sud-Ouest,27.908,-0.317
2,4,Annaba,36.8924,7.7634
2,13,Aoulef,26.9989,1.3351
2,4,Arbaa,36.5988,3.1375
2,13,Bir Rebaa,31.285,8.565
2,4,Boufarik 1,36.5914,2.9223
2,4,Boufarik 2,36.596,2.878
2,4,Boutelilis,35.5658,-0.9386
2,13,Chelghoum El Aïd,36.225,6.11
2,13,El Kheneg,33.727,2.811
2,4,F'Krina,35.7666,7.3619
2,13,HPC Ouargla,32.602,5.834
2,4,Hadjret Ennous,36.5767,2.0797
2,4,Hamma 2,36.7489,3.0823
2,4,Hassi Messaoud Mobile,31.6703,6.0531
2,4,Hassi Messoud,31.6703,6.0531
2,4,Hassi Messoud Nord 2,31.7877,6.0517
2,4,Hassi Messoud Ouest,31.8065,5.9924
2,13,Hassi R'mel ISCC,33.123,3.356
2,13,Hauts Plateaux Centre,34.342,3.169
2,13,Hauts Plateaux Est,35.68,5.9861
2,6,Ighil Emda,36.4739,5.2719
2,13,In Salah,27.183,2.504
2,4,Jijel,36.8139,5.876
2,4,Kahrama IPP,35.8064,-0.2476
2,4,Koudiet Eddraouch,36.885,8.0778
2,13,Labiodh Sidi Cheikh,32.945,0.555
2,4,Labreg,34.5056,6.9848
2,4,Marsat,35.8,-0.1924
2,4,Marsat TG,35.8,-0.1924
2,4,Msila 1,35.7071,4.4804
2,13,Naâma,33.274,-0.372
2,13,Oued El Kebrit,35.919,7.87
2,13,Oued el Ma,35.68,5.9861
2,4,Ras Djinet,36.8509,3.6983
2,13,Ras el Oued,36.01,5.035
2,4,Ravin Blanc,35.7095,-0.6319
2,13,Reggane,26.768,0.137
2,4,Relizane,35.7835,0.5407
2,4,SKB IPP,36.1399,2.9296
2,4,SKS IPP SNC Lavalin,36.8789,6.9366
2,4,SPP1 Thermal,32.9475,3.238
2,4,Skikda,36.88,6.935
2,13,Tamanrasset,22.849,5.45
2,4,Terga,35.4608,-1.2295
2,4,Tiaret,35.3396,1.3562
2,4,Tilghemt 1,33.1319,3.348
2,4,Tilghemt 2,33.1377,3.3678
2,13,Timimoun,29.22,0.223
2,13,Tindouf,27.752,-8.154
2,13,Télagh,34.692,-0.601
2,13,Zaouiet Kounta,27.241,-0.174
4,8,Biopio,-12.4706,13.7319
4,6,Biopio (hydro),-12.4706,13.7319
4,6,Cambambe,-9.7523,14.4809
4,6,Capanda,-9.7955,15.4672
4,4,Cazenga,-8.8383,13.2344
4,8,Huambo,-12.76,15.75
4,4,Lobito,-12.37,13.57
4,8,Luanda Diesel,-8.8383,13.2344
4,8,Luanda Refinery,-8.8383,13.2344
4,8,Malongo,-5.55,12.2
4,6,Matala,-14.7333,15.0333
4,4,Namibe,-15.1961,12.1522
4,6,Rio Luachimo,-7.3,20.85
4,8,Xitoto,-15.3333,15.0
5,8,McMurdo Station Generator,-77.847,166.6605
5,17,Ross Island,-77.8428,166.7271
7,9,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),-38.9368,-68.3556
7,4,AGUA DEL CAJON (GENERADOR DEL MEM),-38.9368,-68.3556
7,6,AGUA DEL TORO,-34.5792,-68.9892
7,6,ALICURA,-40.58,-70.7489
7,8,ALMIRANTE BROWN,-34.8386,-58.4033
7,4,ALTO VALLE,-38.9524,-68.0218
7,8,ALUMINE,-39.2145,-70.9157
7,6,ALVAREZ CONDARCO,-33.0452,-69.0516
7,6,ARROYITO,-39.1009,-68.5982
7,7,ATUCHA I,-33.967,-59.2059
7,7,ATUCHA II,-33.9674,-59.2045
7,8,BANDERA,-23.8219,-64.7847
7,8,BARILOCHE (PUERTO  MORENO),-41.1167,-71.4167
7,6,BENJAMIN REOLIN,-32.1883,-64.3233
7,8,BERNARDO  DE IRIGOYEN,-26.2545,-53.6469
7,8,C.T. RUFINO,-34.2605,-62.7107
7,8,C.T. SAN VICENTE,-35.0241,-58.4237
7,8,CAA CATI,-27.7534,-57.6205
7,6,CABRA CORRAL,-25.2712,-65.3298
7,6,CACHEUTA (NUEVA),-33.0291,-69.1109
7,8,CACHI,-25.1089,-66.2106
7,8,CAFAYATE,-26.0715,-65.9876
7,8,CAPITAL CATAMARCA - PREDIO CHOYA,-28.4537,-65.7841
7,8,CAPITAL CATAMARCA - PREDIO EX CARCEL,-28.4773,-65.7872
7,8,CAPITAL CATAMARCA - PREDIO RIPIERA,-28.4684,-65.7797
7,6,CASA DE PIEDRA,-38.2143,-67.1908
7,6,CASSAFFOUSTH,-31.3992,-64.2006
7,2,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,-38.7872,-62.2536
7,4,CENTRAL LOMA DE LA LATA SA,-38.5127,-68.6048
7,8,CENTRAL PARQUE INDUSTRIAL LA BANDA,-38.062,-67.9463
7,4,CENTRAL T.GENELBA,-34.9027,-58.7334
7,4,CENTRAL T.GENELBA PLUS,-34.9027,-58.7334
7,4,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),-31.7112,-60.7811
7,4,CENTRAL TERMICA DE CICLO COMBINADO SALTA,-24.7456,-65.0513
7,2,CENTRAL TERMICA GÜEMES SA,-24.6894,-65.0425
7,4,CENTRAL TERMICA LA BANDA,-27.7528,-64.2655
7,8,CENTRAL TERMICA PIQUIRENDA SA,-22.3497,-63.7664
7,8,CENTRAL TERMICA REMEDIOS DE ESCALADA,-34.7208,-58.3881
7,4,CENTRAL TERMOELECTRICA GUILLERMO BROWN,-34.6268,-58.5438
7,4,CENTRAL TERMOELECTRICA MANUEL BELGRANO,-24.6894,-65.0425
7,4,CENTRAL TERMOELECTRICA TIMBUES,-32.5778,-60.791
7,6,CH LOS CARACOLES,-31.5192,-68.9814
7,8,CHILECITO,-29.1578,-67.5069
7,13,CHIMBERA 1,-31.9881,-68.5402
7,6,CIPOLLETTI,-38.9121,-67.9427
7,8,COMANDANTE ANDRESITO,-25.6669,-54.0419
7,4,COMODORO RIVADAVIA,-25.9913,-54.6278
7,17,COMODORO RIVADAVIA - ANTONIO MORAN,-45.8467,-67.4964
7,8,CORRIENTES,-27.4708,-58.8042
7,2,COSTANERA,-34.626,-58.3393
7,4,CRUZ DE PIEDRA,-33.0349,-68.7971
7,8,CRUZ DEL EJE,-30.7636,-64.7538
7,4,CT 13 DE JULIO,-32.1613,-64.1537
7,8,CT ALEM,-43.0907,-65.2298
7,8,CT ALUMINE,-38.8706,-70.5753
7,8,CT ARISTOBULO DEL VALLE,-27.0922,-54.8625
7,8,CT ARRECIFES,-34.0414,-60.1297
7,8,CT AÑATUYA,-28.4431,-62.8569
7,8,CT AÑATUYA II,-28.4431,-62.8569
