Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,all_energy_types,1980,85840.141,86847.551,27770.91,4298126.522,68.146,10.547,4946.627
World,coal,1980,23051.753,23479.067,27770.91,4298126.522,68.146,10.547,1409.79
World,natural_gas,1980,15786.281,16048.82,27770.91,4298126.522,68.146,10.547,1081.593
World,petroleum_n_other_liquids,1980,38704.002,39010.873,27770.91,4298126.522,68.146,10.547,2455.244
World,nuclear,1980,2220.211,2220.211,27770.91,4298126.522,68.146,10.547,0.0
World,renewables_n_other,1980,6067.236,6088.582,27770.91,4298126.522,68.146,10.547,0.0
World,all_energy_types,1981,84814.757,85367.708,28665.819,4377059.559,66.118,10.096,18701.974
World,coal,1981,23141.857,23580.626,28665.819,4377059.559,66.118,10.096,7474.452
World,natural_gas,1981,15795.132,16286.936,28665.819,4377059.559,66.118,10.096,2842.337
World,petroleum_n_other_liquids,1981,37164.538,36762.393,28665.819,4377059.559,66.118,10.096,8385.185
World,nuclear,1981,2499.053,2499.053,28665.819,4377059.559,66.118,10.096,0.0
World,renewables_n_other,1981,6187.682,6238.7,28665.819,4377059.559,66.118,10.096,0.0
World,all_energy_types,1982,84899.771,85025.634,28801.77,4456829.974,64.999,10.058,18327.414
World,coal,1982,23569.373,24441.724,28801.77,4456829.974,64.999,10.058,7500.57
World,natural_gas,1982,15841.974,16264.073,28801.77,4456829.974,64.999,10.058,2843.874
World,petroleum_n_other_liquids,1982,36318.49,35098.885,28801.77,4456829.974,64.999,10.058,7982.97
World,nuclear,1982,2786.418,2786.418,28801.77,4456829.974,64.999,10.058,0.0
World,renewables_n_other,1982,6366.157,6434.534,28801.77,4456829.974,64.999,10.058,0.0
World,all_energy_types,1983,86083.928,85883.181,29617.577,4537793.894,64.73,9.917,18284.002
World,coal,1983,24216.718,24525.959,29617.577,4537793.894,64.73,9.917,7637.057
World,natural_gas,1983,16162.744,16445.902,29617.577,4537793.894,64.73,9.917,2854.973
World,petroleum_n_other_liquids,1983,35817.648,34954.223,29617.577,4537793.894,64.73,9.917,7791.972
World,nuclear,1983,3141.225,3141.225,29617.577,4537793.894,64.73,9.917,0.0
World,renewables_n_other,1983,6725.176,6815.871,29617.577,4537793.894,64.73,9.917,0.0
World,all_energy_types,1984,90041.175,90535.481,31097.253,4572800.782,67.187,9.88,18478.512
World,coal,1984,25308.359,25693.278,31097.253,4572800.782,67.187,9.88,7847.456
World,natural_gas,1984,17831.228,18099.592,31097.253,4572800.782,67.187,9.88,2913.477
World,petroleum_n_other_liquids,1984,36169.847,35916.85,31097.253,4572800.782,67.187,9.88,7717.579
World,nuclear,1984,3808.33,3808.33,31097.253,4572800.782,67.187,9.88,0.0
World,renewables_n_other,1984,6899.81,7017.432,31097.253,4572800.782,67.187,9.88,0.0
World,all_energy_types,1985,92442.234,92746.181,32289.041,4657357.404,67.727,9.769,19602.547
World,coal,1985,26203.176,26868.588,32289.041,4657357.404,67.727,9.769,8200.683
World,natural_gas,1985,18572.333,18792.974,32289.041,4657357.404,67.727,9.769,3214.47
World,petroleum_n_other_liquids,1985,36185.821,35500.973,32289.041,4657357.404,67.727,9.769,8187.395
World,nuclear,1985,4483.565,4483.565,32289.041,4657357.404,67.727,9.769,0.0
World,renewables_n_other,1985,6975.711,7100.081,32289.041,4657357.404,67.727,9.769,0.0
