country,country_long,name,latitude,longitude,primary_fuel
AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,32.322,65.119,Hydro
AFG,Afghanistan,Kandahar DOG,31.67,65.795,Solar
AFG,Afghanistan,Kandahar JOL,31.623,65.792,Solar
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,34.556,69.4787,Hydro
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,34.641,69.717,Hydro
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,34.4847,70.3633,Hydro
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,34.5638,69.1134,Gas
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,35.9416,68.71,Hydro
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,34.5865,69.7757,Hydro
ALB,Albania,Bistrica 1,39.9116,20.1047,Hydro
ALB,Albania,Fierza,42.2514,20.0431,Hydro
ALB,Albania,Koman,42.1033,19.8224,Hydro
ALB,Albania,Lanabregas,41.3428,19.8964,Hydro
ALB,Albania,Shkopet,41.6796,19.8305,Hydro
ALB,Albania,Ulez,41.6796,19.8936,Hydro
ALB,Albania,Vau i Dijes,42.0137,19.6359,Hydro
ALB,Albania,Vlora,40.4874,19.434,Other
DZA,Algeria,Adrar,27.908,-0.317,Solar
DZA,Algeria,Ain Azel,35.88,5.475,Solar
DZA,Algeria,Ain Djasser,35.8665,6.0262,Gas
DZA,Algeria,Ain Sekhouna,34.532,0.804,Solar
DZA,Algeria,Ain el Ibel I,34.346,3.164,Solar
DZA,Algeria,Ain el Ibel II,34.342,3.169,Solar
DZA,Algeria,Ain el Melh,34.861,4.204,Solar
DZA,Algeria,Algerie Sud-Ouest,27.908,-0.317,Solar
DZA,Algeria,Annaba,36.8924,7.7634,Gas
DZA,Algeria,Aoulef,26.9989,1.3351,Solar
DZA,Algeria,Arbaa,36.5988,3.1375,Gas
DZA,Algeria,Bir Rebaa,31.285,8.565,Solar
DZA,Algeria,Boufarik 1,36.5914,2.9223,Gas
DZA,Algeria,Boufarik 2,36.596,2.878,Gas
DZA,Algeria,Boutelilis,35.5658,-0.9386,Gas
DZA,Algeria,Chelghoum El Aïd,36.225,6.11,Solar
DZA,Algeria,El Kheneg,33.727,2.811,Solar
DZA,Algeria,F'Krina,35.7666,7.3619,Gas
DZA,Algeria,HPC Ouargla,32.602,5.834,Solar
DZA,Algeria,Hadjret Ennous,36.5767,2.0797,Gas
DZA,Algeria,Hamma 2,36.7489,3.0823,Gas
DZA,Algeria,Hassi Messaoud Mobile,31.6703,6.0531,Gas
